C,SETP.WORLD,DVD_DISPATCHPRICE,AEMO,PUBLIC,2026/07/08,18:11:00,001783498260880,MONTHLY_ARCHIVE,001783498260880
I,DISPATCH,PRICE,5,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,LASTCHANGED,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG,PRICE_STATUS,PRE_AP_ENERGY_PRICE,PRE_AP_RAISE6_PRICE,PRE_AP_RAISE60_PRICE,PRE_AP_RAISE5MIN_PRICE,PRE_AP_RAISEREG_PRICE,PRE_AP_LOWER6_PRICE,PRE_AP_LOWER60_PRICE,PRE_AP_LOWER5MIN_PRICE,PRE_AP_LOWERREG_PRICE,CUMUL_PRE_AP_ENERGY_PRICE,CUMUL_PRE_AP_RAISE6_PRICE,CUMUL_PRE_AP_RAISE60_PRICE,CUMUL_PRE_AP_RAISE5MIN_PRICE,CUMUL_PRE_AP_RAISEREG_PRICE,CUMUL_PRE_AP_LOWER6_PRICE,CUMUL_PRE_AP_LOWER60_PRICE,CUMUL_PRE_AP_LOWER5MIN_PRICE,CUMUL_PRE_AP_LOWERREG_PRICE,OCD_STATUS,MII_STATUS,RAISE1SECRRP,RAISE1SECROP,RAISE1SECAPCFLAG,LOWER1SECRRP,LOWER1SECROP,LOWER1SECAPCFLAG,PRE_AP_RAISE1_PRICE,PRE_AP_LOWER1_PRICE,CUMUL_PRE_AP_RAISE1_PRICE,CUMUL_PRE_AP_LOWER1_PRICE
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,NSW1,20260531243,0,68.62559,0,68.62559,0,0,"2026/06/01 00:10:02",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1.05,1.05,0,FIRM,68.62559,0.04,0.03,0.01,3.46,0.01,0.03,0.01,1.05,195559.04819,509.49654,324.10987,94.8602,10371.55155,18.97,78.6095,16.94938,3976.41145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,QLD1,20260531243,0,72.75005,0,72.75005,0,0,"2026/06/01 00:10:02",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1.05,1.05,0,FIRM,72.75005,0.04,0.03,0.01,3.46,0.01,0.03,0.01,1.05,182354.50071,128.16699,102.7918,52.7302,10329.42155,1624.86433,1681.36994,348.99955,4308.46162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,SA1,20260531243,0,49.02,0,49.02,0,0,"2026/06/01 00:10:02",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1.05,1.05,0,FIRM,49.02,0.04,0.03,0.01,3.46,0.01,0.03,0.01,1.05,205848.0934,509.49654,324.10987,94.8602,10371.55155,18.97,78.6095,16.94938,3976.41145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,TAS1,20260531243,0,80.02,0,80.02,0,0,"2026/06/01 00:10:02",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.44,5.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,80.02,0.38,0.38,0.38,5.44,0.38,0.38,0,3.03,201381.17231,13086.80798,902.14391,541.10322,13040.87293,2998.4606,827.62294,450.73238,4664.07768,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
D,DISPATCH,PRICE,5,"2026/06/01 00:15:00",1,VIC1,20260531243,0,59.49631,0,59.49631,0,0,"2026/06/01 00:10:02",0.04,0.04,0,0.03,0.03,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,1.05,1.05,0,FIRM,59.49631,0.04,0.03,0.01,3.46,0.01,0.03,0.01,1.05,162799.46948,509.49654,324.10987,94.8602,10371.55155,18.97,78.6095,16.94938,3976.41145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:20:00",1,NSW1,20260531244,0,76.3,0,76.3,0,0,"2026/06/01 00:15:02",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,76.3,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.72,195539.33819,509.38654,324.04987,94.8402,10370.03155,18.95,78.6095,16.94938,3976.13145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:20:00",1,QLD1,20260531244,0,79.9564,0,79.9564,0,0,"2026/06/01 00:15:02",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,79.9564,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.72,182337.82871,128.05699,102.7318,52.7102,10327.90155,1624.84433,1681.36994,348.99955,4308.18162,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,284.95096
D,DISPATCH,PRICE,5,"2026/06/01 00:20:00",1,SA1,20260531244,0,64.28448,0,64.28448,0,0,"2026/06/01 00:15:02",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,64.28448,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.72,205837.48178,509.38654,324.04987,94.8402,10370.03155,18.95,78.6095,16.94938,3976.13145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
D,DISPATCH,PRICE,5,"2026/06/01 00:20:00",1,TAS1,20260531244,0,80.02,0,80.02,0,0,"2026/06/01 00:15:02",0.38,0.38,0,0.38,0.38,0,0.38,0.38,0,5.44,5.44,0,0.38,0.38,0,0.38,0.38,0,0,0,0,3.03,3.03,0,FIRM,80.02,0.38,0.38,0.38,5.44,0.38,0.38,0,3.03,201374.11231,13086.80798,902.14391,541.10322,13040.74293,2995.8406,827.57294,450.35238,4664.87468,NOT_OCD,NOT_MII,0,0,0,0,0,0,0,0,23.16,0.04
D,DISPATCH,PRICE,5,"2026/06/01 00:20:00",1,VIC1,20260531244,0,66.74912,0,66.74912,0,0,"2026/06/01 00:15:02",0.04,0.04,0,0.04,0.04,0,0.01,0.01,0,3.46,3.46,0,0.01,0.01,0,0.03,0.03,0,0.01,0.01,0,0.72,0.72,0,FIRM,66.74912,0.04,0.04,0.01,3.46,0.01,0.03,0.01,0.72,162786.60586,509.38654,324.04987,94.8402,10370.03155,18.95,78.6095,16.94938,3976.13145,NOT_OCD,NOT_MII,0.04,0.04,0,0,0,0,0.04,0,74.51,0.24
